num_nodes,num_edges,avg_degree,density,num_unknown_nodes,num_socket_syscalls,num_open_syscalls,num_read_syscalls,num_write_syscalls,num_dup_syscalls,num_accept4_syscalls,num_close_syscalls,num_openat_syscalls,num_connect_syscalls,num_recv_syscalls,max_degree_centrality,avg_degree_centrality,max_betweenness_centrality,avg_betweenness_centrality,max_closeness_centrality,avg_closeness_centrality,num_connected_components,largest_cc_num_nodes,largest_cc_num_edges,degree_assortativity,node_connectivity,edge_connectivity,degree_std,degree_skewness,degree_kurtosis,num_unlinkat_syscalls,num_execve_syscalls,num_dup3_syscalls,num_clone_syscalls,num_bind_syscalls,num_dup2_syscalls,num_vfork_syscalls,num_send_syscalls
651,2269,6.970814132104454,0.005362164717003427,651,14.0,563,888,70,22,1.0,605,82,16.0,2.0,2.1138461538461537,0.010724329434006762,0.001679506933744222,3.87802465440519e-06,0.015512820512820512,0.0019597163375965378,18,485,1808,-0.05893682263521732,0,0,55.26682164934442,23.451276249995807,576.9010346700444,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
616,2104,6.8311688311688314,0.005553795797698237,616,8.0,557,795,36,22,0.0,590,81,8.0,1.0,2.234146341463415,0.011107591595396562,0.0018762744630703636,4.5785230896854e-06,0.009959349593495936,0.0021072105240223763,11,461,1654,0.056023491552484636,0,0,56.573455892501805,23.096686253202797,555.5728278903231,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
627,2130,6.794258373205742,0.005426723940260177,627,8.0,558,796,36,38,0.0,599,80,8.0,1.0,2.1948881789137378,0.01085344788052029,0.0018108626198083068,4.341379152208142e-06,0.009784345047923321,0.0020771757466729493,13,457,1645,0.06361104259280413,0,0,56.1106286407447,23.26159811590993,564.0965960403403,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
262,766,5.847328244274809,0.011201778245737183,262,6.0,213,234,37,16,1.0,231,19,8.0,1.0,0.7816091954022988,0.022403556491474373,0.0,0.0,0.02681992337164751,0.003831417624521084,11,108,321,-0.30522367277856133,0,0,17.959017502514282,8.425082814712528,81.23256824738387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
628,2138,6.808917197452229,0.0054297585306636595,628,12.0,555,806,47,22,1.0,594,81,12.0,1.0,2.1913875598086126,0.010859517061327439,0.0018050863435090778,4.32875395790916e-06,0.01291866028708134,0.002064571210565179,10,476,1693,0.049186863266627676,0,0,56.05381669737986,23.294046112433765,565.4590293110706,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
287,910,6.341463414634147,0.011086474501108648,287,10.0,229,295,37,16,1.0,254,54,12.0,1.0,0.9230769230769231,0.022172949002217335,2.45368666421298e-05,8.549430885759512e-08,0.02097902097902098,0.0034680766388083635,14,123,441,0.11697096354078494,0,0,22.554350661167778,9.021900366697734,88.1654898871033,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
260,818,6.292307692307692,0.012147312147312147,260,4.0,211,281,57,16,1.0,226,18,4.0,0.0,0.7953667953667953,0.024294624294624402,0.0,0.0,0.019305019305019305,0.0037422037422037363,17,97,293,-0.23162318459146133,0,0,19.75813217341782,7.173490915531527,59.29233648732837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,741,5.550561797752809,0.01043338683788122,267,6.0,211,224,26,16,1.0,229,19,8.0,1.0,0.7744360902255638,0.020866773675762403,0.0,0.0,0.02631578947368421,0.0036889977753372357,16,107,297,-0.32046018567086576,0,0,17.59980288191138,8.76490806847356,87.5171812904075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
632,2140,6.772151898734177,0.005366205941944673,632,12.0,555,808,47,22,1.0,594,81,12.0,1.0,2.1774960380348656,0.01073241188388924,0.0017822554272633512,4.246952781527196e-06,0.01283676703645008,0.002041007095396352,13,476,1688,0.04990957315362105,0,0,55.850801330807975,23.397518512312505,570.1369581268901,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
276,816,5.913043478260869,0.01075098814229249,276,6.0,220,243,42,32,1.0,246,19,6.0,1.0,0.7490909090909091,0.021501976284584893,0.0,0.0,0.025454545454545455,0.0037022397891963285,13,105,333,-0.34441651683485874,0,0,18.1175622463877,8.208245779538899,78.37352294059643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,753,5.036789297658863,0.008450988754461179,299,4.0,236,176,12,16,1.0,265,32,2.0,0.0,0.6912751677852349,0.016901977508922434,0.0005197387747723319,2.985267064636776e-06,0.022651006711409398,0.0034464246967894625,13,137,292,-0.10540058879444768,0,0,16.889429450090507,9.528229381476296,100.82890857592848,0.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0
297,745,5.016835016835016,0.008474383474383474,297,4.0,234,171,12,16,1.0,263,32,3.0,0.0,0.6959459459459459,0.016948766948766927,0.000526797984425103,3.0461894868674527e-06,0.022804054054054057,0.00347032638699306,13,136,291,-0.10893575102990016,0,0,16.632582909016442,9.454978428323907,100.29029252112863,0.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0
656,2290,6.9817073170731705,0.005329547570284863,656,14.0,566,881,67,38,1.0,616,82,16.0,2.0,2.097709923664122,0.010659095140569891,0.0016539440203562341,3.818359669695163e-06,0.015703380588876773,0.001977338986857711,13,485,1802,-0.055034795779504764,0,0,55.05562293351392,23.53537690143047,581.28377391342,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
273,867,6.351648351648351,0.011675824175824176,273,4.0,221,303,64,16,1.0,236,18,4.0,0.0,0.8786764705882353,0.0233516483516484,0.0,0.0,0.01838235294117647,0.0035552682611506036,18,97,306,-0.23064002508456108,0,0,20.88449323595134,7.78070396285978,71.21614640379879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,2249,6.962848297213622,0.005397556819545444,646,14.0,557,880,69,22,1.0,599,82,16.0,2.0,2.130232558139535,0.010795113639090812,0.0017056671000048149,3.998725774168962e-06,0.015946843853820596,0.001986279347860463,17,486,1805,-0.0616950601823001,0,0,55.42494308833711,23.422967281545294,574.7606965073758,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
